accion	origen	destino	motivo
MOVIDO	emu/ROMS/ATARI2600/Bobby is Going Home (NA).png	emu/MEDIA/ATARI2600/Bobby is Going Home (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Boggle (Prototype).png	emu/MEDIA/ATARI2600/Boggle (Prototype).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Boing! (NA).png	emu/MEDIA/ATARI2600/Boing! (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Bouncin' Baby Bunnies (Prototype).png	emu/MEDIA/ATARI2600/Bouncin' Baby Bunnies (Prototype).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Bowling (NA).png	emu/MEDIA/ATARI2600/Bowling (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Boxing (NA).png	emu/MEDIA/ATARI2600/Boxing (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Brain Games (NA).png	emu/MEDIA/ATARI2600/Brain Games (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Breakout (NA).png	emu/MEDIA/ATARI2600/Breakout (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Bridge (NA, Rev 1.1).png	emu/MEDIA/ATARI2600/Bridge (NA, Rev 1.1).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Buck Rogers - Planet of Zoom (NA).png	emu/MEDIA/ATARI2600/Buck Rogers - Planet of Zoom (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Bugs (NA).png	emu/MEDIA/ATARI2600/Bugs (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Bugs Bunny (Prototype).png	emu/MEDIA/ATARI2600/Bugs Bunny (Prototype).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Bump 'n' Jump (NA).png	emu/MEDIA/ATARI2600/Bump 'n' Jump (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Bumper Bash (NA).png	emu/MEDIA/ATARI2600/Bumper Bash (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/BurgerTime (NA).png	emu/MEDIA/ATARI2600/BurgerTime (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Burning Desire (NA).png	emu/MEDIA/ATARI2600/Burning Desire (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Busy Police (NA).png	emu/MEDIA/ATARI2600/Busy Police (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Cabbage Patch Kids - Adventures in the Park (Prototype).png	emu/MEDIA/ATARI2600/Cabbage Patch Kids - Adventures in the Park (Prototype).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Cakewalk (NA).png	emu/MEDIA/ATARI2600/Cakewalk (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/California Games (NA).png	emu/MEDIA/ATARI2600/California Games (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Canyon Bomber (NA).png	emu/MEDIA/ATARI2600/Canyon Bomber (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Care Bears (Prototype).png	emu/MEDIA/ATARI2600/Care Bears (Prototype).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Carnival (NA).png	emu/MEDIA/ATARI2600/Carnival (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Casino (NA).png	emu/MEDIA/ATARI2600/Casino (NA).png	carátula a MEDIA
