accion	origen	destino	motivo
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/17+4 (1985)(S+S Soft)(de).prg	emu/ROMS/C64/PRG/#/17+4 (1985)(S+S Soft)(de).prg	PRG TOSEC: mejor versión del juego
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/17+4 (1991)(Markt & Technik)(de).prg	emu/ROMS/C64/PRG/#/17+4 (1991)(Markt & Technik)(de).prg	PRG TOSEC: mejor versión del juego
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/17+4 (19xx)(Chip Software)(de).prg	emu/ROMS/C64/PRG/#/17+4 (19xx)(Chip Software)(de).prg	PRG TOSEC: mejor versión del juego
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/17+4 (19xx)(MB Software)(de).prg	emu/ROMS/C64/PRG/#/17+4 (19xx)(MB Software)(de).prg	PRG TOSEC: mejor versión del juego
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/18 Uhren (1990)(Commodore Disc)(de).prg	emu/ROMS/C64/PRG/#/18 Uhren (1990)(Commodore Disc)(de).prg	PRG TOSEC: mejor versión del juego
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/180 (1986)(Mastertronic)[cr REM][f][t +2 REM][Docs].prg	emu/ROMS/C64/PRG/#/180 (1986)(Mastertronic)[cr REM][f][t +2 REM][Docs].prg	PRG TOSEC: mejor versión del juego
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/180 - One Hundred and Eighty (1986)(Mastertronic).prg	emu/ROMS/C64/PRG/#/180 - One Hundred and Eighty (1986)(Mastertronic).prg	PRG TOSEC: mejor versión del juego
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/180 - One Hundred and Eighty (1986)(Mastertronic)[a2].prg	emu/EXTRAS/C64-PRG-variantes/#/180 - One Hundred and Eighty (1986)(Mastertronic)[a2].prg	variante de 180 - One Hundred and Eighty (1986)(Mastertronic).prg
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/180 - One Hundred and Eighty (1986)(Mastertronic)[a].prg	emu/EXTRAS/C64-PRG-variantes/#/180 - One Hundred and Eighty (1986)(Mastertronic)[a].prg	variante de 180 - One Hundred and Eighty (1986)(Mastertronic).prg
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/180 - One Hundred and Eighty (1986)(Mastertronic)[cr WCC].prg	emu/EXTRAS/C64-PRG-variantes/#/180 - One Hundred and Eighty (1986)(Mastertronic)[cr WCC].prg	variante de 180 - One Hundred and Eighty (1986)(Mastertronic).prg
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/1942 (1986)(Elite).prg	emu/ROMS/C64/PRG/#/1942 (1986)(Elite).prg	PRG TOSEC: mejor versión del juego
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/1942 (1986)(Elite)[cr CFO].prg	emu/EXTRAS/C64-PRG-variantes/#/1942 (1986)(Elite)[cr CFO].prg	variante de 1942 (1986)(Elite).prg
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/1942 (1986)(Elite)[cr MGS][b].prg	emu/EXTRAS/C64-PRG-variantes/#/1942 (1986)(Elite)[cr MGS][b].prg	variante de 1942 (1986)(Elite).prg
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/1942 (1986)(Elite)[cr MHI][b].prg	emu/EXTRAS/C64-PRG-variantes/#/1942 (1986)(Elite)[cr MHI][b].prg	variante de 1942 (1986)(Elite).prg
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/1942 (1986)(Elite)[cr RAD].prg	emu/EXTRAS/C64-PRG-variantes/#/1942 (1986)(Elite)[cr RAD].prg	variante de 1942 (1986)(Elite).prg
MOVIDO	emu/c64/C64-rom-prg-games/Games - [PRG]/#/1942 (1986)(Elite)[h 1001].prg	emu/EXTRAS/C64-PRG-variantes/#/1942 (1986)(Elite)[h 1001].prg	variante de 1942 (1986)(Elite).prg
