accion	origen	destino	motivo
MOVIDO	emu/dos/Alcatraz.zip	emu/ORIGINALES/DOS/Alcatraz.zip	original del juego, catalogado; la copia descomprimida está en emu/ROMS/DOS/Alcatraz/
EXTRAIDO	emu/dos/Aleshar - World of Ice.zip	emu/ROMS/DOS/Aleshar - World of Ice/	juego de DOS descomprimido para la consola (seguro)
CREADO		emu/ROMS/DOS/Aleshar - World of Ice.conf	lanzador de dosbox_svn (seguro: aleshar/ALESHAR.EXE)
MOVIDO	emu/dos/Aleshar - World of Ice.zip	emu/ORIGINALES/DOS/Aleshar - World of Ice.zip	original del juego, catalogado; la copia descomprimida está en emu/ROMS/DOS/Aleshar - World of Ice/
EXTRAIDO	emu/dos/Alex Higgin's World Snooker.zip	emu/ROMS/DOS/Alex Higgin's World Snooker/	juego de DOS descomprimido para la consola (seguro)
CREADO		emu/ROMS/DOS/Alex Higgin's World Snooker.conf	lanzador de dosbox_svn (seguro: ahws/SNOOKER.EXE)
MOVIDO	emu/dos/Alex Higgin's World Snooker.zip	emu/ORIGINALES/DOS/Alex Higgin's World Snooker.zip	original del juego, catalogado; la copia descomprimida está en emu/ROMS/DOS/Alex Higgin's World Snooker/
EXTRAIDO	emu/dos/Aliants - The desperate battle for Earth.zip	emu/ROMS/DOS/Aliants - The desperate battle for Earth/	juego de DOS descomprimido para la consola (seguro)
CREADO		emu/ROMS/DOS/Aliants - The desperate battle for Earth.conf	lanzador de dosbox_svn (seguro: aliants/GO.BAT)
MOVIDO	emu/dos/Aliants - The desperate battle for Earth.zip	emu/ORIGINALES/DOS/Aliants - The desperate battle for Earth.zip	original del juego, catalogado; la copia descomprimida está en emu/ROMS/DOS/Aliants - The desperate battle for Earth/
EXTRAIDO	emu/dos/Alien Breed.zip	emu/ROMS/DOS/Alien Breed/	juego de DOS descomprimido para la consola (seguro)
CREADO		emu/ROMS/DOS/Alien Breed.conf	lanzador de dosbox_svn (seguro: alien/ALIEN.EXE)
MOVIDO	emu/dos/Alien Breed.zip	emu/ORIGINALES/DOS/Alien Breed.zip	original del juego, catalogado; la copia descomprimida está en emu/ROMS/DOS/Alien Breed/
EXTRAIDO	emu/dos/Alien Carnage - Halloween Harry.zip	emu/ROMS/DOS/Alien Carnage - Halloween Harry/	juego de DOS descomprimido para la consola (seguro)
CREADO		emu/ROMS/DOS/Alien Carnage - Halloween Harry.conf	lanzador de dosbox_svn (seguro: harry/CARNAGE.EXE)
MOVIDO	emu/dos/Alien Carnage - Halloween Harry.zip	emu/ORIGINALES/DOS/Alien Carnage - Halloween Harry.zip	original del juego, catalogado; la copia descomprimida está en emu/ROMS/DOS/Alien Carnage - Halloween Harry/
EXTRAIDO	emu/dos/Alien Incident.zip	emu/ROMS/DOS/Alien Incident/	juego de DOS descomprimido para la consola (dudoso)
CREADO		emu/ROMS/DOS/Alien Incident.conf	lanzador de dosbox_svn (dudoso: GAME.EXE)
MOVIDO	emu/dos/Alien Incident.zip	emu/ORIGINALES/DOS/Alien Incident.zip	original del juego, catalogado; la copia descomprimida está en emu/ROMS/DOS/Alien Incident/
EXTRAIDO	emu/dos/Alien Rampage.zip	emu/ROMS/DOS/Alien Rampage/	juego de DOS descomprimido para la consola (instalar)
CREADO		emu/ROMS/DOS/Alien Rampage.conf	lanzador de dosbox_svn (instalar: sin ejecutable)
MOVIDO	emu/dos/Alien Rampage.zip	emu/ORIGINALES/DOS/Alien Rampage.zip	original del juego, catalogado; la copia descomprimida está en emu/ROMS/DOS/Alien Rampage/
EXTRAIDO	emu/dos/Alien Syndrome.zip	emu/ROMS/DOS/Alien Syndrome/	juego de DOS descomprimido para la consola (seguro)
CREADO		emu/ROMS/DOS/Alien Syndrome.conf	lanzador de dosbox_svn (seguro: ALIEN.EXE)
MOVIDO	emu/dos/Alien Syndrome.zip	emu/ORIGINALES/DOS/Alien Syndrome.zip	original del juego, catalogado; la copia descomprimida está en emu/ROMS/DOS/Alien Syndrome/
EXTRAIDO	emu/dos/Alien Trilogy.zip	emu/ROMS/DOS/Alien Trilogy/	juego de DOS descomprimido para la consola (seguro)
CREADO		emu/ROMS/DOS/Alien Trilogy.conf	lanzador de dosbox_svn (seguro: TRILOGY.EXE)
MOVIDO	emu/dos/Alien Trilogy.zip	emu/ORIGINALES/DOS/Alien Trilogy.zip	original del juego, catalogado; la copia descomprimida está en emu/ROMS/DOS/Alien Trilogy/
EXTRAIDO	emu/dos/All dogs go to Heaven.zip	emu/ROMS/DOS/All dogs go to Heaven/	juego de DOS descomprimido para la consola (dudoso)
CREADO		emu/ROMS/DOS/All dogs go to Heaven.conf	lanzador de dosbox_svn (dudoso: Dogs/DOGSC.BAT)
MOVIDO	emu/dos/All dogs go to Heaven.zip	emu/ORIGINALES/DOS/All dogs go to Heaven.zip	original del juego, catalogado; la copia descomprimida está en emu/ROMS/DOS/All dogs go to Heaven/
EXTRAIDO	emu/dos/Alley Cat.zip	emu/ROMS/DOS/Alley Cat/	juego de DOS descomprimido para la consola (seguro)
CREADO		emu/ROMS/DOS/Alley Cat.conf	lanzador de dosbox_svn (seguro: CAT.EXE)
MOVIDO	emu/dos/Alley Cat.zip	emu/ORIGINALES/DOS/Alley Cat.zip	original del juego, catalogado; la copia descomprimida está en emu/ROMS/DOS/Alley Cat/
EXTRAIDO	emu/dos/Alone in the Dark 2.zip	emu/ROMS/DOS/Alone in the Dark 2/	juego de DOS descomprimido para la consola (dudoso)
CREADO		emu/ROMS/DOS/Alone in the Dark 2.conf	lanzador de dosbox_svn (dudoso: aitd2.bat)
MOVIDO	emu/dos/Alone in the Dark 2.zip	emu/ORIGINALES/DOS/Alone in the Dark 2.zip	original del juego, catalogado; la copia descomprimida está en emu/ROMS/DOS/Alone in the Dark 2/
EXTRAIDO	emu/dos/Alone in the Dark.zip	emu/ROMS/DOS/Alone in the Dark/	juego de DOS descomprimido para la consola (seguro)
CREADO		emu/ROMS/DOS/Alone in the Dark.conf	lanzador de dosbox_svn (seguro: alone/ALONECRK.COM)
